search_query,job_title,company_name,job_url,sorted_by_model
Machine Learning Germn,Machine Learning Engineer (all genders),Zalando,https://de.linkedin.com/jobs/view/machine-learning-engineer-all-genders-at-zalando-4427029345,gemini/gemini-2.5-flash
Machine Learning Germn,Machine Learning Engineer (m/f/d),PAYBACK,https://de.linkedin.com/jobs/view/machine-learning-engineer-m-f-d-at-payback-4426739877,gemini/gemini-2.5-flash
Machine Learning Germn,Machine Learning Engineer (m/w/d),Empion,https://de.linkedin.com/jobs/view/machine-learning-engineer-m-w-d-at-empion-4426778172,gemini/gemini-2.5-flash
Machine Learning Germn,Applied AI Engineer (m/f/d),Shopware,https://de.linkedin.com/jobs/view/applied-ai-engineer-m-f-d-at-shopware-4386322880,gemini/gemini-2.5-flash
Machine Learning Germn,AI Software Engineer (m/w/d),Sunhat,https://de.linkedin.com/jobs/view/ai-software-engineer-m-w-d-at-sunhat-4423137463,gemini/gemini-2.5-flash
Machine Learning Germn,Software Engineer - Artificial Intelligence,Haystack,https://de.linkedin.com/jobs/view/software-engineer-artificial-intelligence-at-haystack-4421945558,gemini/gemini-2.5-flash
Machine Learning Germn,Software Engineer - AI expert (m/f/d),OMNIPEAK.AI,https://de.linkedin.com/jobs/view/software-engineer-ai-expert-m-f-d-at-omnipeak-ai-4423111208,gemini/gemini-2.5-flash
Machine Learning Germn,Software Engineer / Data Scientist AI (d/m/w/x),Mercedes-Benz Tech Innovation,https://de.linkedin.com/jobs/view/software-engineer-data-scientist-ai-d-m-w-x-at-mercedes-benz-tech-innovation-4426045873,gemini/gemini-2.5-flash
Machine Learning Germn,Werkstudierende - Machine/ Deep Learning & KI (m/w/d),Fink IT-Solutions,https://de.linkedin.com/jobs/view/werkstudierende-machine-deep-learning-ki-m-w-d-at-fink-it-solutions-4423151986,gemini/gemini-2.5-flash
Work Student ML,Internship / Working Student - Machine-Learning- and AI-Based System Analysis (m/f/d),CARIAD,https://de.linkedin.com/jobs/view/internship-working-student-machine-learning-and-ai-based-system-analysis-m-f-d-at-cariad-4423135978,gemini/gemini-2.5-flash
Work Student ML,Master’s Student Research Intern – Applied Research in LLMs and Agentic AI [2606-144-HAI],NEC Laboratories Europe,https://de.linkedin.com/jobs/view/master%E2%80%99s-student-research-intern-%E2%80%93-applied-research-in-llms-and-agentic-ai-2606-144-hai-at-nec-laboratories-europe-4423107357,gemini/gemini-2.5-flash
Work Student ML,"Software Engineering Intern, AI Applications (m/f/d) - Gigafactory Berlin-Brandenburg",Tesla,https://de.linkedin.com/jobs/view/software-engineering-intern-ai-applications-m-f-d-gigafactory-berlin-brandenburg-at-tesla-4427048524,gemini/gemini-2.5-flash
Work Student ML,Working Student (m/f/d) LLM Agent Evaluation & Benchmarking,Agile Robots SE,https://de.linkedin.com/jobs/view/working-student-m-f-d-llm-agent-evaluation-benchmarking-at-agile-robots-se-4417652550,gemini/gemini-2.5-flash
Machine Learning Germn,MLOps Engineer | Data Engineer Automotive (m/w/d),prognum Automotive GmbH,https://de.linkedin.com/jobs/view/mlops-engineer-data-engineer-automotive-m-w-d-at-prognum-automotive-gmbh-4427074963,gemini/gemini-2.5-flash
Machine Learning Germn,"Machine Learning Research Engineer, Machine Translation",Apple,https://de.linkedin.com/jobs/view/machine-learning-research-engineer-machine-translation-at-apple-4426045447,gemini/gemini-2.5-flash
Machine Learning Germn,Machine Learning Specialist (m/w/d),Empion,https://de.linkedin.com/jobs/view/machine-learning-specialist-m-w-d-at-empion-4426773240,gemini/gemini-2.5-flash
Machine Learning Germn,Data Scientist (Masters),Alignerr,https://de.linkedin.com/jobs/view/data-scientist-masters-at-alignerr-4426584594,gemini/gemini-2.5-flash
